Instance;Time;SimplexIteration;Cuts;Best solution
1;0.141;0;0;8
2;0.047;56;0;9
3;0.047;32;0;10
4;0.078;105;0;11
5;0.11;1059;161;12
6;0.094;150;0;13
7;0.296;17077;2458;14
8;0.125;252;0;15
9;0.297;2538;614;16
10;0.578;19951;2048;17
11;TIMED OUT;8777732;207194;19
12;0.703;2488;190;19
13;12.031;412719;19001;20
14;21.828;756001;22957;21
15;4.218;88148;7046;22
16;79.156;1611361;32039;23
17;36.797;839556;27926;24
18;TIMED OUT;5899579;187218;26
19;TIMED OUT;3704837;50724;27
20;TIMED OUT;4635394;93854;28
21;TIMED OUT;4596208;88869;29
22;TIMED OUT;4190540;42793;31
23;TIMED OUT;5739393;100509;31
24;5.14;133935;4901;31
25;301.219;2890838;36239;34
26;TIMED OUT;4909761;100885;34
27;TIMED OUT;5259342;111392;35
28;51.969;1153207;27585;35
29;81.813;1589970;41305;36
30;TIMED OUT;4094628;40109;39
31;4.781;119131;5127;38
32;TIMED OUT;3734556;52989;41
33;49.093;1122908;28144;40
34;TIMED OUT;3885713;36621;42
35;TIMED OUT;3992321;59722;41
36;TIMED OUT;3762926;59251;41
37;TIMED OUT;4281245;52160;63
38;TIMED OUT;3540336;29328;62
39;TIMED OUT;3650802;32753;62
40;TIMED OUT;816701;22396;132
