Instance;Time;SimplexIteration;Cuts;Best solution
1;0.063;17;0;8
2;0.047;44;0;9
3;0.062;47;0;10
4;0.094;109;0;11
5;0.125;139;0;12
6;0.11;227;0;13
7;0.094;154;0;14
8;0.14;190;0;15
9;0.172;169;0;16
10;0.36;1520;102;17
11;9.704;360121;14481;18
12;1.656;96465;5539;19
13;4.609;265506;6761;20
14;4.188;179417;7415;21
15;3.625;141024;8297;22
16;TIMED OUT;6035097;95304;24
17;13.75;365838;15790;24
18;118.359;3316964;55786;25
19;112.343;2660902;50788;26
20;269.719;5346425;99222;27
21;5.469;60021;5106;28
22;TIMED OUT;4335372;63859;30
23;33.703;930969;23827;30
24;43.953;1296679;36814;31
25;TIMED OUT;5684486;75501;34
26;168.156;4479170;92205;33
27;20.187;444872;19250;34
28;TIMED OUT;4677795;74520;36
29;TIMED OUT;4890201;122131;37
30;TIMED OUT;4631751;67592;38
31;5.781;149209;5480;38
32;TIMED OUT;3745609;33890;41
33;34.297;1208438;23996;40
34;TIMED OUT;3977725;39284;42
35;TIMED OUT;4423245;54886;41
36;181.969;2345864;36144;40
37;TIMED OUT;3770419;45812;63
38;TIMED OUT;3622716;39380;64
39;TIMED OUT;3565783;30798;63
40;TIMED OUT;984603;13375;124
