Instance;Time;SimplexIteration;Cuts;Best solution
1;0.031;13;1;8
2;0.047;19;1;9
3;0.046;32;1;10
4;0.047;142;1;11
5;0.094;371;1;12
6;0.047;237;1;13
7;0.125;2022;375;14
8;0.344;9471;699;15
9;0.078;454;1;16
10;0.281;2330;13;17
11;7.265;286832;19745;18
12;1.25;38898;3158;19
13;0.782;24457;1194;20
14;4.047;216176;18635;21
15;5.719;232545;19047;22
16;17.234;654745;36198;23
17;87.703;3345818;239215;24
18;TIMED OUT;11168581;648549;26
19;TIMED OUT;10245658;575745;27
20;TIMED OUT;9889456;628991;28
21;TIMED OUT;9324017;522806;29
22;TIMED OUT;8950723;339186;30
23;261.718;9345006;599818;30
24;72;2519644;213449;31
25;TIMED OUT;11333385;218602;33
26;TIMED OUT;9379812;651792;34
27;214.813;6701532;476100;34
28;15.141;532079;17539;35
29;55.343;1436006;90129;36
30;TIMED OUT;7440803;358199;38
31;2.187;50798;2677;38
32;TIMED OUT;6853222;336509;40
33;7.235;164929;8043;40
34;TIMED OUT;12273867;342425;41
35;287.406;7926308;463243;40
36;127.015;3461285;196845;40
37;TIMED OUT;11288735;198160;61
38;TIMED OUT;11588654;174517;62
39;TIMED OUT;10973683;250696;61
40;TIMED OUT;1960158;14849;105
