Instance;Time;SimplexIteration;Cuts;Best solution
1;0.047;4;1;8
2;0.047;14;1;9
3;0.032;32;1;10
4;0.047;94;1;11
5;0.063;174;1;12
6;0.093;268;1;13
7;0.031;177;1;14
8;0.078;378;1;15
9;0.047;244;1;16
10;0.125;540;1;17
11;74.406;2032740;42889;18
12;1.578;13516;1200;19
13;1.204;3435;11;20
14;4.265;28565;2010;21
15;1.485;11357;897;22
16;5.609;43776;2695;23
17;13.828;259661;10649;24
18;8.531;119626;5109;25
19;275.734;5280165;116795;26
20;11.187;124900;5514;27
21;180.656;3536774;85714;28
22;42.093;740155;22484;29
23;11.594;157226;7229;30
24;8.281;56199;3345;31
25;TIMED OUT;5930914;139787;33
26;219.407;4617356;112523;33
27;5.797;94286;3761;34
28;9.781;101183;3262;35
29;23.468;440898;14952;36
30;TIMED OUT;5233347;102986;38
31;9.032;106685;4735;38
32;TIMED OUT;5315246;87571;40
33;32.422;828594;21217;40
34;264.438;4806778;74688;40
35;TIMED OUT;4822133;82721;41
36;50.734;568025;23638;40
37;TIMED OUT;4303244;73344;62
38;TIMED OUT;5236068;37290;62
39;TIMED OUT;4697590;53011;61
40;TIMED OUT;1572244;12507;102
