data;

param w := 60;
param n := 73;
param min_h := 90;
param max_h := 157;

set BLOCKS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 ;

param:	width	height :=
	1	33	14
	2	25	15
	3	16	18
	4	21	12
	5	12	18
	6	34	6
	7	14	13
	8	25	7
	9	9	18
	10	12	13
	11	23	6
	12	10	12
	13	10	12
	14	16	7
	15	12	9
	16	21	5
	17	14	7
	18	5	18
	19	6	15
	20	10	9
	21	14	6
	22	14	6
	23	16	5
	24	16	5
	25	6	13
	26	11	7
	27	8	9
	28	14	5
	29	13	5
	30	21	3
	31	6	9
	32	6	9
	33	3	18
	34	12	4
	35	16	3
	36	6	7
	37	6	7
	38	4	10
	39	13	3
	40	6	6
	41	12	3
	42	6	6
	43	12	3
	44	5	7
	45	7	5
	46	5	7
	47	6	5
	48	6	5
	49	3	9
	50	3	9
	51	5	5
	52	8	3
	53	2	12
	54	11	2
	55	3	7
	56	7	3
	57	3	7
	58	2	10
	59	2	9
	60	2	9
	61	4	4
	62	3	5
	63	4	3
	64	6	2
	65	6	2
	66	3	2
	67	6	1
	68	3	2
	69	2	3
	70	3	2
	71	4	1
	72	3	1
	73	2	1;
