Instance,Time,Conflicts,Propagations,Best solution,Failures 
1,"0,014",-,-,8,0
2,"0,014",-,-,9,0
3,"0,016",-,-,10,0
4,"0,037",-,-,11,0
5,"0,102",-,-,12,0
6,"0,155",-,-,13,0
7,"0,151",-,-,14,0
8,"0,218",-,-,15,0
9,"0,262",-,-,16,0
10,"0,53",-,-,17,0
11,"35,354",-,-,18,0
12,"0,136",3023,24018,19,0
13,"0,071",1322,9757,20,0
14,"0,25",4649,46448,21,0
15,"0,115",1829,17224,22,0
16,"3,122",37222,509266,23,0
17,"0,378",4980,51230,24,0
18,"0,743",9463,118204,25,0
19,"6,804",59168,888741,26,0
20,"0,512",5867,63680,27,0
21,"1,501",16416,180456,28,0
22,"7,423",60297,906835,29,0
23,"1,514",17211,209403,30,0
24,"0,358",4566,47992,31,0
25,"21,809",131130,2210403,32,0
26,"5,567",51748,673440,33,0
27,"1,268",14296,173584,34,0
28,"1,331",13554,148089,35,0
29,"1,249",12207,143783,36,0
30,"106,355",603017,11061459,37,0
31,"0,363",4408,45958,38,0
32,"86,653",497166,7337343,39,0
33,"0,137",1344,13357,40,0
34,"20,531",141509,1963477,40,0
35,"29,85",220869,2686408,40,0
36,"1,106",10160,102792,40,0
37,"105,487",674833,8668455,60,0
38,"94,759",132516,1578177,60,4
39,"10,749",79506,879254,60,0
40,Time-out,43251,719862,93,5
