Instance,Time,Conflicts,Propagations,Best solution,Failures 
1,"0,014",-,-,8,0
2,"0,018",-,-,9,0
3,"0,024",-,-,10,0
4,"0,041",-,-,11,0
5,"0,111",-,-,12,0
6,"0,229",-,-,13,0
7,"0,142",-,-,14,0
8,"0,211",-,-,15,0
9,"0,239",-,-,16,0
10,"0,825",-,-,17,0
11,"25,593",-,-,18,0
12,"0,202",4068,34814,19,0
13,"0,131",2819,20073,20,0
14,"0,206",3488,34178,21,0
15,"0,11",1501,13827,22,0
16,"2,283",26849,362993,23,0
17,"0,411",5520,66200,24,0
18,"0,714",9263,106326,25,0
19,"1,395",14368,172682,26,0
20,"3,009",29366,398119,27,0
21,"2,878",28323,382816,28,0
22,"19,583",146337,2459728,29,0
23,"0,702",7933,91478,30,0
24,"0,339",4279,45194,31,0
25,"22,314",136245,2330174,32,0
26,"1,485",14590,186185,33,0
27,"1,469",16829,199604,34,0
28,"3,133",28342,419772,35,0
29,"0,872",7607,85599,36,0
30,"41,928",281426,4416211,37,0
31,"0,263",3455,30958,38,0
32,"64,009",227997,3612790,39,2
33,"0,114",1069,10879,40,0
34,"41,031",307414,4361895,40,0
35,"12,573",106938,1241223,40,0
36,"5,091",39828,519793,40,0
37,"100,587",669975,9001994,60,0
38,Time-out,3647,37724,62,5
39,"46,731",321631,4253235,60,0
40,Time-out,32268,499728,93,5
