Instance,Time,Conflicts,Propagations,Best solution,Failures
1,"0,008",14,67,8,0
2,"0,014",83,767,9,0
3,"0,02",77,939,10,0
4,"0,033",232,3694,11,0
5,"0,236",1861,38936,12,0
6,"0,312",2329,61774,13,0
7,"0,26",1704,42957,14,0
8,"0,762",4702,115437,15,0
9,"0,501",3144,84076,16,0
10,"5,432",24197,924358,17,0
11,"131,995",281383,18989836,18,1
12,"15,411",55254,2010221,19,0
13,"8,522",32068,1220090,20,0
14,"6,086",21745,934423,21,0
15,"16,107",37546,1781916,22,1
16,"35,637",48518,2776156,23,2
17,"51,02",120213,6217822,24,0
18,"83,942",142976,8179729,25,1
19,Time-out,4602,467019,28,5
20,"143,391",175804,11335676,27,2
21,"242,168",85858,6917820,28,4
22,Time-out,34891,2969935,30,5
23,"86,218",100440,6531572,30,2
24,"52,41",88592,4668084,31,1
25,Time-out,74593,7281129,33,5
26,"90,28",116898,8515266,33,1
27,"69,26",127104,8944773,34,0
28,"11,816",49120,3356854,35,4
29,"85,512",86596,6593068,36,2
30,Time-out,57080,5349000,38,5
31,"156,835",180839,9809282,38,2
32,Time-out,25795,4387339,41,5
33,"192,343",84362,5432451,40,4
34,"45,465",51847,4112994,40,1
35,"95,757",144335,11120547,40,0
36,"91,036",140914,12387969,40,0
37,Time-out,101615,9893805,61,5
38,"154,048",83651,7780871,60,3
39,"89,05",53736,5130726,60,4
40,Time-out,-,-,0,5
