Instance,Time,Conflicts,Propagations,Best solution,Failures
1,"0,004",12,84,8,0
2,"0,009",76,727,9,0
3,"0,011",60,755,10,0
4,"0,035",209,3415,11,0
5,"0,19",1511,30820,12,0
6,"0,14",845,18864,13,0
7,"0,677",6285,165379,14,0
8,"0,238",1531,36865,15,0
9,"0,403",3216,86718,16,0
10,"2,705",17900,678517,17,0
11,"47,491",159260,9320043,18,1
12,"12,339",60843,2324692,19,0
13,"7,752",40209,1482198,20,0
14,"3,547",16444,729533,21,0
15,"4,806",19692,853543,22,0
16,"35,746",69633,4169062,23,2
17,"146,505",342413,17718588,24,1
18,"14,308",47389,3087060,25,0
19,"171,861",352759,29196825,26,1
20,"38,321",91572,6527576,27,4
21,"134,928",59919,4361018,28,4
22,Time-out,19347,1793028,30,5
23,"120,479",209994,13113868,30,2
24,"9,578",17898,863510,31,2
25,Time-out,33684,3411070,33,5
26,"43,938",74499,5113647,33,1
27,"50,713",77724,5790530,34,2
28,"149,574",159242,12319092,35,3
29,"81,066",169207,12021584,36,0
30,Time-out,80743,7321552,38,5
31,"90,176",193903,10581365,38,1
32,Time-out,77096,9089736,41,5
33,"27,461",47312,2482492,40,2
34,"53,067",92005,7678047,40,0
35,"72,756",154035,12473125,40,0
36,"22,339",45326,4256802,40,0
37,Time-out,108337,10036104,61,5
38,"271,657",107230,10594663,60,4
39,Time-out,28823,2804617,61,5
40,Time-out,-,-,0,5
